year,inflation,fiscal_balance,debt_gdp,broad_money_gdp,interest_rate,fx_rate,gdp,gdp_pc,exports,imports,trade_balance
1960,27,,8.4,21.13925102,0,82.8,15865474315,778.251707,1206418458,1206418120,337.7970808
1961,13,-2.5,8.7,16.60599886,0,83.1333333,20132220375,971.338043,1206915940,1206915602,337.9363756
1962,28,-3.1,25.1,14.31011669,5,115.945833,18337691145,870.217491,860375634.2,1720750787,-860375152.4
1963,23.9,-2.8,21.58933,16.01761795,5.5,138.6,18272123664,852.972425,1441753550,1441753153,396.482125
1964,22.2,-2.2,15.49873,15.96785971,6,157.176667,25605249382,1176.20086,1424603255,1424602864,391.7657952
1965,28.63,-1.9,14.66971,15.12887524,6.5,242.971667,28344705967,1281.83338,1764705803,1176470539,588235263.8
1966,31.91,-2.4,12.36208,15.95036979,7,241.993333,28630474728,1275.07843,1904761830,1428571371,476190458.7
1967,29.2,-3.1,10.0558,18.42667446,7.5,338.9925,24256667553,1063.93284,1818181858,1212121237,606060620.3
1968,16.21,-2.7,8.672204,20.41522143,8,349.854167,26436857248,1141.95212,1714285705,1428571475,285714230.4
1969,7.57,-3.4,8.853843,20.87808736,8,351.104167,31256284544,1329.56182,2000000041,2000000041,0
1970,13.59,-3.8,12.45087,22.99616804,8,3.86041667,31584210366,1322.71454,1769210603,1495789482,273421120.5
1971,34.73,-4.2,14.02102,18.02169837,17,6.1325,33293199095,1372.50747,2000000003,2199999959,-199999955.3
1972,58.45,-4.5,15.77707,22.67296205,8,11.4483333,34733000536,1409.37097,2500000047,2374999979,125000068
1973,61.25,-3.9,11.06968,23.26092822,8,11.285,52544000117,2097.89945,4000000136,3000000102,1000000034
1974,23.47,-3.1,11.99213,26.07637926,8,16.25,72436777342,2844.96991,4999999840,4555555490,444444349.7
1975,182.9,-13.84,31.17866,22.1623211,40,72.1583333,52438647922,2026.68436,3054054017,3135135021,-81081003.16
1976,444,-8.5,26.48624,19.05432005,47.5,257.75,51169499892,1946.9199,4695000304,3030000057,1665000247
1977,176,-6.3,23.15941,22.47230597,115.4,423.125,56781000101,2126.48546,5459999881,4159999873,1300000008
1978,175.5,-5.8,16.14351,24.54096738,131.7,808.291667,89049453088,3282.06304,7665724160,5089538172,2576185988
1979,159.5,-5.4,11.43982,25.86769055,117.3,1333.91667,69252328952,2511.97333,4508960597,4383512571,125448026.3
1980,100.76,-4.9,10.51802,24.95573441,79.61,1849.33333,76961923741,2747.50228,3895791555,4989980080,-1094188525
1981,104.48,-6.2,24.44594,23.41155755,157.1,6108.875,78676842367,2764.08641,5445263190,5800000171,-354736981.1
1982,164.78,-8.9,50.91728,21.24287839,126.2,34495.8333,84307486837,2914.76709,7663966256,5497685333,2166280922
1983,343.81,-4.1,59.22909,21.02593844,281.3,36220.4458,1.03979E+11,3537.74735,9515669467,6068376037,3447293430
1984,626.72,-3.5,50.37002,21.97477621,396.8,97.3291667,1.16915E+11,3915.03493,8873730059,5561048223,3312681836
1985,672.18,-4.2,62.64001,17.30336287,567.78,193.56875,88150891728,2905.77566,10345475059,5529993736,4815481324
1986,90.1,-3.8,51.56957,19.58474074,82.6,1.08466667,1.05872E+11,3436.07819,8641279278,6695427336,1945851942
1987,131.33,-4.1,68.35967,22.0526189,147.95,2.86741667,1.08811E+11,3477.30132,8566904947,8243255952,323648994.7
1988,342.96,-5.3,56.6435,25.14760548,325.9,11.2616667,1.2689E+11,3992.7033,12094686105,7882225528,4212460577
1989,3079.81,-6.1,109.0434,20.10465632,755.28,480.16,76629728760,2374.57322,10006623327,5041767786,4964855541
1990,2313.96,-7.4,44.74283,11.48109468,694.94,5016.25,1.41353E+11,4315.33403,14643479947,6546497152,8096982795
1991,171.67,-3.2,32.93441,10.55677756,55.84,9659.83333,1.8972E+11,5709.24784,14561091033,11531201154,3029889879
1992,24.9,-0.8,27.76823,13.69143719,13.39,0.99115,2.28779E+11,6789.99611,15095261860,18606116034,-3510854173
1993,10.61,-1.2,26.89271,19.21862334,9.67,0.999275,2.36742E+11,6931.85596,16357317317,22049649650,-5692332332
1994,4.18,-0.5,28.42598,20.770289,7.29,0.99938333,2.5744E+11,7437.56242,19385100000,27299960000,-7914860000
